Soda Etcheverry Cory Jupiter Cory ChezPanisse Evans Mars LosAngeles Davis Chino Tuxcacuesco Davis Bechtel SigmaKappa Dwinelle AlphaCentauri Dwinelle Emeryville SouthGate Dwinelle Guadalajara Tuhuamixtel Dwinelle FantasticComics Dwinelle VictoryPoint Etcheverry Soda BerkeleyHillel Soda Gregoire Soda Perris Fontana Upland Soda Myto Soda Tang Soda BAMPFA Platano Soda Irvine Soda
29
Cory AlphaChi Compton SanBernardino Talpa Rasputin Tako Cancun
Davis Ashby
Bechtel SanMiguel
Dwinelle DeltaDelta BayStreet SanDiego Kips CREAM CafeTibet Riverside
Soda ChiOmega InternationalHouse BerkeleyHigh Venus Saturn Pomona Whittier Tijuana Jalisco ElGrullo MexicoCity TripleRock DKingGallery SantaBarbara Sacramento
SigmaKappa SigmaKappa
BerkeleyHillel BerkeleyHillel
Jupiter Jupiter
Mars Mars
AlphaCentauri AlphaCentauri
Gregoire Gregoire
Emeryville Emeryville
Perris Perris
Fontana Fontana
Upland Upland
Chino Chino
SouthGate SouthGate
Guadalajara Guadalajara
Tuxcacuesco Tuxcacuesco
Tuhuamixtel Tuhuamixtel
Myto Myto
Tang Tang
BAMPFA BAMPFA
Platano Platano
FantasticComics FantasticComics
LosAngeles LosAngeles
Irvine Irvine
VictoryPoint VictoryPoint
ChezPanisse ChezPanisse
