A29 A5 A57 A47 A66 A47 A57 A11 A38 A11 A21 A0 A65 A32 A14 A58 A92 A58 A14 A61 A7 A2 A7 A13 A97 A18 A97 A13 A7 A68 A7 A77 A7 A61 A55 A5 A5 A79 A65 A54 A65 A0 A1 A60 A1 A88 A6 A30 A26 A30 A6 A35 A96 A35 A82 A75 A36 A52 A67 A52 A74 A73 A19 A72 A19 A95 A19 A1 A73 A41 A5 A57 A11 A38 A70 A71 A45 A91 A4 A31 A51 A31 A4 A91 A45 A28 A45 A37 A12 A59 A12 A16 A12 A85 A93 A99 A93 A12 A53 A90 A7 A65 A0 A71 A10 A71 A45 A28 A81 A34 A81 A76 A39 A21 A40 A94 A21 A11 A57 A5 A27 A5 A79 A65 A0
46
A5 A55
A65 A79 A3 A65
A1 A69
A38 A15 A38
A7 A90
A21 A89 A39
A35 A35
A88 A88
A73 A73
A26 A26
A95 A95
A59 A59
A53 A53
A67 A67
A31 A31
A16 A16
A2 A2
A99 A99
A13 A13
A32 A32
A77 A77
A18 A18
A34 A34
A52 A52
A12 A12
A91 A91
A10 A10
A97 A97
A82 A82
A36 A36
A68 A68
A66 A66
A92 A92
A29 A29
A30 A30
A27 A27
A47 A47
A85 A85
A51 A51
A96 A96
A72 A72
A6 A6
A60 A60
A28 A28
A54 A54
A14 A14
