DZA GEO EGY GLP ATA ATF ATA GLP GRD CAF BVT COL GRD CYM CXR CZE CYP DMA ATA GLP BGR BDI BRB BHS DOM CUW DNK ARE ALB ARG ALB GMB GUY AUS EGY CMR BLM BES BLR CCK BWA BMU BMU BFA CIV HKG GRC HRV COG HRV HMD HRV GRD GNQ AUT ERI FSM ECU GBR FRA FRO GHA GIN FIN ESP AND ESP GIN FLK GEO CYP AFG FIN EST GUY BLZ BRB CAN COG CHE COD GUM GUY HKG GUY HRV
47
DMA DJI
BMU BGD BEN
CYP ABW
GUY CUB BRN
COG CAN COG
COD COD
FLK FLK
AND AND
FRO FRO
CAF CAF
HMD HMD
ARG ARG
GRD GRD
BHS BHS
HND HND
ALB ALB
BLM BLM
CCK CCK
GNQ GNQ
GLP GLP
CHE CHE
GRC GRC
ATA ATA
FSM FSM
ARE ARE
BES BES
DOM DOM
FIN FIN
GHA GHA
GEO GEO
CYM CYM
DNK DNK
BDI BDI
GBR GBR
BVT BVT
ATF ATF
ECU ECU
BRB BRB
CUW CUW
ERI ERI
FRA FRA
AUS AUS
CXR CXR
BFA BFA
HKG HKG
CZE CZE
BLR BLR
