BukitBatokEast AirportRoad Sembawang JooKoon SungeiRoad Seletar BukitBatokEast DowntownCore LowerSeletar AirportRoad CityHall Frankel SwissClub Frankel Tengeh Safti GhimMoh Frankel GaliBatuMandai TanjongPagar SimpangNorth AirportRoad NeeSoon Hillcrest AirportRoad ChoaChuKang AirportRoad Tyersall AirportRoad Sudong Boulevard Redhill PearlsHill TiongBahruStation RiverValley AirportRoad
25
BukitBatokEast LeonieHill
Frankel Frankel
SungeiRoad SungeiRoad
Simei Simei
Redhill Redhill
GaliBatuMandai GaliBatuMandai
Tengeh Tengeh
RiverValley RiverValley
SimpangNorth SimpangNorth
NeeSoon NeeSoon
JooKoon JooKoon
DowntownCore DowntownCore
SwissClub SwissClub
ChoaChuKang ChoaChuKang
GhimMoh GhimMoh
Hillcrest Hillcrest
LowerSeletar LowerSeletar
Sudong Sudong
PearlsHill PearlsHill
Safti Safti
TanjongPagar TanjongPagar
Tyersall Tyersall
TiongBahruStation TiongBahruStation
CityHall CityHall
Sembawang Sembawang
