Qwilfish Tropius Drapion Taillow Drapion Vullaby Jumpluff Vullaby Shellos Xerneas Wailord Xerneas Shellos Drampa Phanpy Skiddo Noibat Simisear Sandile Meloetta Porygon2 Meloetta Inkay Vespiquen Inkay Metapod Weezing Metapod Noibat Nincada Comfey Nincada Seaking Honedge Kakuna Treecko Kakuna Dewpider Whismur Metapod Metang Slurpuff Metang Crawdaunt Woobat Crawdaunt Scatterbug Tsareena Shellder Tsareena Scatterbug Honedge Weepinbell Honedge Skorupi Munna Swadloon Magnemite Shellos Magmar Volcarona Steenee Wartortle Zekrom Conkeldurr Zekrom Wartortle Lotad Amoonguss Dewpider Froakie Bounsweet Gengar Tauros Gengar Drampa Qwilfish
46
Vullaby Plusle Vullaby
Noibat Escavalier Noibat
Metapod Bastiodon Metapod
Shellos Magnemite Shellos
Dewpider Stufful
Volcarona Volcarona
Meloetta Meloetta
Gengar Gengar
Whismur Whismur
Qwilfish Qwilfish
Simisear Simisear
Woobat Woobat
Sandile Sandile
Steenee Steenee
Nincada Nincada
Swadloon Swadloon
Tauros Tauros
Drapion Drapion
Scatterbug Scatterbug
Porygon2 Porygon2
Vespiquen Vespiquen
Crawdaunt Crawdaunt
Seaking Seaking
Magmar Magmar
Munna Munna
Skorupi Skorupi
Weezing Weezing
Froakie Froakie
Taillow Taillow
Metang Metang
Weepinbell Weepinbell
Drampa Drampa
Bounsweet Bounsweet
Slurpuff Slurpuff
Honedge Honedge
Treecko Treecko
Shellder Shellder
Inkay Inkay
Lotad Lotad
Conkeldurr Conkeldurr
Skiddo Skiddo
Amoonguss Amoonguss
Wailord Wailord
Comfey Comfey
Jumpluff Jumpluff
Kakuna Kakuna
