S R0 H1 T10 H3 T10 H5 T10 H7 T10 H9 R8 S R10 H11 R10 S R12 H13 R12 S R14 H15 R14 S R16 H17 R16 S R18 H19 R18 S R20 H21 R20 S R22 H23 R22 S R24 H25 R24 S R26 H27 R26 S R28 H29 R28 S R30 H31 R30 S R32 H33 R32 S R34 H35 R34 S R36 H37 R36 S R38 H39 H38 R38 S
37
T10 H0 H2 H4 H6
R8 H8
R10 H10
R12 H12
R14 H14
R16 H16
R18 H18
R20 H20
R22 H22
R24 H24
R26 H26
R28 H28
R30 H30
R32 H32
R34 H34
R36 H36
H1 H1
H3 H3
H5 H5
H7 H7
H9 H9
H11 H11
H13 H13
H15 H15
H17 H17
H19 H19
H21 H21
H23 H23
H25 H25
H27 H27
H29 H29
H31 H31
H33 H33
H35 H35
H37 H37
H38 H38
H39 H39
