Bowles Etcheverry Calvin Calvin Bowles Mulford Latimer Bechtel Cory Jacob Hertz CVStarr Unit3 CKerr WayWest CKerr Ridge CKerr Unit3 CVStarr Hertz Jacob TopDog Fenwick Barker Fenwick TopDog GammaPhiBeta TopDog Starbucks Chipotle Starbucks TopDog Jacob Cory Bechtel Birge Bechtel Minor Memorial TacoBell Memorial Maxwell Barrows Maxwell Memorial AlphaSigmaPhi Memorial Minor Bechtel Wilde Bechtel Baker Daiso Baker Simons Baker Strada RoseGarden Strada Baker Bechtel Cory Stanley LeConte VLSB Boalt Kresge PeoplesPark Kresge Castro Kresge Boalt VLSB Chez NorthGate Chez VLSB LeConte RSF LeConte Campanile Bongo ShengKee Bongo Artichokes Cheeseboard Artichokes Bongo Campanile Wurster McCone Spats Stonefire PiLambda PiAlphaPhi PiLambda Stonefire Spats McCone Wurster Zellerbach Wurster Campanile LeConte ALS LeConte Stanley Moses RareTea Gypsys RareTea Moses Wellman Sutardja Wellman Moses Greek Unit2 Wolf StrawberryCreek Wilde Bechtel Cory Stanley Milano Unit2 Greek Moses Stanley Stanley Campbell Doe Campbell Stanley Campbell Stanley Cory Jacob Evan Moffitt Cloyne Moffitt Evan Blackwell McLaughlin GenPlantBio McLaughlin Blackwell Evan Jacob Foothill Dwinelle Haas Crossroads Lawrence UCTheatre NCEM UCTheatre Lawrence Crossroads Haas Pavilion Haas Dwinelle HearstAnnex Lothlorien HearstAnnex Dwinelle Foothill Davis Browns Davis Hildebrand YogurtPark Hildebrand Davis Foothill Haviland Morgan Martinez Morgan Haviland Foothill Jacob Foothill Jacob Hearst MLK Latimer Edwards Latimer South Pimentel Stacks Pimentel South Latimer Mulford Crescent Mulford Latimer Bechtel Cory
73
Calvin Graduate Calvin
Bowles LaVals
Jacob MFoundry BearFoodCourt Unit1
Stanley IndianRock Campbell Safeway Koshland
Cory Extension
MLK Rochdale
Latimer Easterly Sherman
Evan Evan
Foothill Foothill
Doe Doe
Birge Birge
Campanile Campanile
Moses Moses
VLSB VLSB
Wellman Wellman
Mulford Mulford
HearstAnnex HearstAnnex
RSF RSF
Haas Haas
Boalt Boalt
Wurster Wurster
Blackwell Blackwell
Zellerbach Zellerbach
Greek Greek
Maxwell Maxwell
Etcheverry Etcheverry
Sutardja Sutardja
Kresge Kresge
Hildebrand Hildebrand
Morgan Morgan
Baker Baker
Barrows Barrows
Unit2 Unit2
Unit3 Unit3
CKerr CKerr
Martinez Martinez
WayWest WayWest
Pavilion Pavilion
Stacks Stacks
Simons Simons
PeoplesPark PeoplesPark
Bongo Bongo
TacoBell TacoBell
Strada Strada
Edwards Edwards
Crossroads Crossroads
Browns Browns
Gypsys Gypsys
Daiso Daiso
YogurtPark YogurtPark
ShengKee ShengKee
Cloyne Cloyne
Ridge Ridge
Lothlorien Lothlorien
Wilde Wilde
Castro Castro
Wolf Wolf
Spats Spats
Crescent Crescent
Chipotle Chipotle
NorthGate NorthGate
UCTheatre UCTheatre
Cheeseboard Cheeseboard
RoseGarden RoseGarden
StrawberryCreek StrawberryCreek
GenPlantBio GenPlantBio
Barker Barker
AlphaSigmaPhi AlphaSigmaPhi
GammaPhiBeta GammaPhiBeta
PiLambda PiLambda
PiAlphaPhi PiAlphaPhi
NCEM NCEM
ALS ALS
