Ippudo Gypsys Platano Soda HildebrandHall NatApartment Rachas SutardjaDai BerkeleyThaiHouse Safeway Barrows BerkeleyBart LaBurrita Chipotle HearstMining Campbell MemorialGlade Campbell EastAsianLibrary LittleCampanile WindmillCoffee PokeBar Plentea ClarkKerr Gongcha Ikes Eureka Ikes Fengcha UniversityVillage TToust BobaNinja TennisCourts BancroftLibrary Cheeseboard RSF Eshelman SweetheartCafe Ikes BetaLounge NatApartment HildebrandHall TPTea Campanile LeConte Cafe3 ThaiNoodle Doe JambaJuice SteamTrains Underhill HortonHall Shengkee HortonHall Stern ClarkKerr DollarTree TripleRock Cinnaholic HortonHall Underhill Homeroom LaNote TacoBell LaNote ExtremePizza LaNote Homeroom Underhill HortonHall Cinnaholic Slivers Cinnaholic HortonHall Underhill Homeroom TheHabit Homeroom Underhill SteamTrains KroeberHall HilgardHall Namaste Bowles AshaTeaHouse JacobsApartment Blackwell SuperDuperBurgers Pappys SuperDuperBurgers Blackwell Milkbomb ThaiBasil HesseHall EastBaySpiceCompany Namaste StrawberryCreek Namaste Bowles HearstAnnex McDonalds Morrisonhall McDonalds HearstAnnex Bowles AshaTeaHouse Barrows BerkeleyBart HappyLemon BerkeleyBart SproulHall BerkeleyBart BigC BerkeleyBart Barrows AshaTeaHouse LeConte AmoebaMusic SnackShack Artichokes SnackShack AmoebaMusic LeConte Artichokes SnackShack AmoebaMusic LeConte Campanile LeConte AmoebaMusic GrizzlyPeak Dwinelle Crossroads LiKaShing BanshoRamen LiKaShing Crossroads SouthHall Ucha SouthHall BobbyGPizza ImmThai BobbyGPizza InternationalHouse Raretea InternationalHouse BobbyGPizza Marugame Gadani HalalGuys LittleBird Fengcha UniversityVillage UCafe Flavia AndrewsApartment UrbanOutfitters Cornerstone UrbanOutfitters AndrewsApartment Wheeler GSPP EastBaySpiceCompany HesseHall Kips Muraccis Kips HesseHall ThaiBasil BrandyMelville FireTrails TheHabit UCafe Flavia HearstGym WursterHall Spats WursterHall HearstGym Flavia SmokesPoutinerie LewisHall SmokesPoutinerie TheDwight SmokesPoutinerie Flavia UCafe Bonchon HavilandHall Fengcha Ikes Unit1 Ikes Eshelman Unit3 LaBurrita OptometryBuilding YogurtPark LaVals Target LaVals YogurtPark TraderJoes YogurtPark GreatChina YogurtPark OptometryBuilding LaBurrita Unit3 Underhill Wikiwiki CVS Jupiter LatimerHall Jupiter Morganhall Jupiter TopDog Jupiter LatimerHall Tilden Gather Spats BerkeleyRoseGarden HAAS Chipotle HAAS Mezzo BerkeleyArtStudio SaturnCafe BerkeleyArtStudio Quicklys BerkeleyArtStudio Mezzo HAAS Chipotle Yifang NorthHall DavisHall TukTukThai BSC ClarkKerr Gongcha Ikes BetaLounge Ikes Fengcha HavilandHall Evans
91
NatApartment PeoplesCafe
LeConte TenderGreens LowerSproul
Campanile ChezPanisse
Fengcha HalalGuys Fengcha
TheHabit MulfordHall TheHabit
Ikes GrizzlyPeak Gongcha Ikes
Underhill SatherGate Underhill
Chipotle Teazone Firewings Chipotle
ClarkKerr Venus ClarkKerr
HortonHall HortonHall
KroeberHall KroeberHall
LatimerHall LatimerHall
LewisHall LewisHall
Morganhall Morganhall
Morrisonhall Morrisonhall
NorthHall NorthHall
OptometryBuilding OptometryBuilding
AshaTeaHouse AshaTeaHouse
McDonalds McDonalds
Bonchon Bonchon
HappyLemon HappyLemon
Ucha Ucha
Artichokes Artichokes
TacoBell TacoBell
Yifang Yifang
UCafe UCafe
SproulHall SproulHall
TPTea TPTea
StrawberryCreek StrawberryCreek
BigC BigC
Crossroads Crossroads
Cafe3 Cafe3
Raretea Raretea
TraderJoes TraderJoes
Safeway Safeway
Marugame Marugame
Kips Kips
Pappys Pappys
BetaLounge BetaLounge
Spats Spats
Cornerstone Cornerstone
TripleRock TripleRock
WursterHall WursterHall
Shengkee Shengkee
Plentea Plentea
ImmThai ImmThai
Milkbomb Milkbomb
MemorialGlade MemorialGlade
EastAsianLibrary EastAsianLibrary
ThaiNoodle ThaiNoodle
Mezzo Mezzo
Slivers Slivers
PokeBar PokeBar
Quicklys Quicklys
TopDog TopDog
Gypsys Gypsys
SnackShack SnackShack
SmokesPoutinerie SmokesPoutinerie
GreatChina GreatChina
ThaiBasil ThaiBasil
Eureka Eureka
BSC BSC
Platano Platano
EastBaySpiceCompany EastBaySpiceCompany
SuperDuperBurgers SuperDuperBurgers
Target Target
JambaJuice JambaJuice
ExtremePizza ExtremePizza
Gadani Gadani
Wikiwiki Wikiwiki
Homeroom Homeroom
Cheeseboard Cheeseboard
LaNote LaNote
Rachas Rachas
BobaNinja BobaNinja
SweetheartCafe SweetheartCafe
Wheeler Wheeler
TukTukThai TukTukThai
Gather Gather
SaturnCafe SaturnCafe
Jupiter Jupiter
AmoebaMusic AmoebaMusic
LaBurrita LaBurrita
AndrewsApartment AndrewsApartment
BerkeleyArtStudio BerkeleyArtStudio
TheDwight TheDwight
BanshoRamen BanshoRamen
LittleCampanile LittleCampanile
Namaste Namaste
Muraccis Muraccis
UrbanOutfitters UrbanOutfitters
