ROck Know ROck ROck ROck ROck AND AND AND AND AND you bored bored tool tool plAy plAy Live Live up up But they COuld COuld gas gas gas gas thin thin thin myself myself myself myself myself dumb dumb coming aLl aLl yep I I men men men if if if play play play play play You You You You till till till till little little little little little till till You You play if if if men men men I I I I yep yep yep yep yep aLl aLl aLl aLl coming coming coming coming coming dumb dumb dumb dumb myself thin thin thin gas gas COuld COuld COuld COuld they they they they they But But But But But up up up up Live Live Live Live plAy plAy plAy plAy tool tool tool tool bored bored bored bored you you you brain you AND ROck
26
ROck Know maKe MOld cool
AND bundled Didn getting U
bored YoULL mYself THat the
tool years So coNcept OnLy
plAy fRom her strEEts And
Live youre noW Didnt sharpest
up might For tHat way
COuld me wrong gEts now
gas said gold re shine
thin back uSe live To
myself well staR know Hey
dumb this Star OnLY glitters
aLl stAr runningj differ forehead
I rules GO with head
men water break skate meteor
if gliTTers thumb ice shoW
play see Fed ground all
You dONt Only GeT need
till YOURE HEY satellite gOld
little doNt Your Judging GEt
yep Well about use of
coming On shootinG geTS shape
they get t sense running
But told stop wait like
you YouLL in roll
brain brain
