Granbull Electrode Flygon Octillery Sylveon Bonsly Lotad Malamar Lotad Charmander Ampharos Metang Reuniclus Metang Magmar Blissey Binacle Lycanroc Cinccino Darkrai Finneon Floette Staryu Jirachi Grumpig Golbat Illumise Charizard Zebstrika Budew Grumpig Lotad Malamar Probopass Swanna Cubone TypeNull Cubone Butterfree Beedrill Purrloin Luvdisc Mightyena Bronzor Roserade Bergmite Glalie Marshtomp Bagon Chespin Metapod Diggersby Arbok Spiritomb Mawile Bonsly Sylveon Tsareena Gliscor Manaphy Trumbeak Linoone Dustox Vivillon Pancham Mudsdale Greninja Oshawott Cinccino Staravia Tsareena Staravia Feraligatr Dragonair Corsola Krookodile Corphish Krookodile Cascoon Noibat Crawdaunt Cosmog Torkoal Greninja Charizard Spiritomb Skitty Spiritomb Quilava Whiscash Quilava Rufflet Arbok Spinda Lampent Octillery Crabominable Finneon Cyndaquil Chatot Slakoth Ninjask Relicanth Unown Electrike Crawdaunt Bagon Torchic Bagon Charmander Lombre Mimikyu Swanna Absol Lileep Rhyhorn Carbink Metagross Carbink Reshiram Krookodile Purrloin Buizel Jolteon Staryu Nuzleaf Staryu Deoxys Kirlia Unown Relicanth Budew Whimsicott Munna Heatmor Serperior Bergmite Serperior Binacle Exeggcute Torracat Lapras Goomy Relicanth Machamp Remoraid Machamp Happiny Magmortar Alomomola Dustox Staryu Diggersby Mantine Diggersby Arbok Wailord Lycanroc Typhlosion Chinchou Rhyhorn Tsareena
91
Malamar Infernape Malamar
Bagon Mimikyu Kangaskhan
Sylveon Spinda Sylveon
Corsola Cosmog
Charizard Pidgeot Charizard
Cyndaquil Rockruff
Charmander Metapod Charmander
Mimikyu Heatran
Purrloin Hitmontop
Budew Relicanth Budew
Diggersby Floatzel Diggersby
Arbok Carnivine Arbok
Lycanroc Raichu Lycanroc
Tsareena Tsareena
Absol Absol
Unown Unown
Roserade Roserade
Dustox Dustox
Butterfree Butterfree
Ampharos Ampharos
Spiritomb Spiritomb
Torchic Torchic
Cascoon Cascoon
Torracat Torracat
Chinchou Chinchou
Crawdaunt Crawdaunt
Slakoth Slakoth
Happiny Happiny
Quilava Quilava
Bonsly Bonsly
Grumpig Grumpig
Cinccino Cinccino
Mawile Mawile
Beedrill Beedrill
Lampent Lampent
Greninja Greninja
Buizel Buizel
Jolteon Jolteon
Mantine Mantine
Gliscor Gliscor
Binacle Binacle
Cubone Cubone
Krookodile Krookodile
Heatmor Heatmor
Swanna Swanna
Whiscash Whiscash
Metagross Metagross
TypeNull TypeNull
Whimsicott Whimsicott
Mightyena Mightyena
Floette Floette
Jirachi Jirachi
Mudsdale Mudsdale
Darkrai Darkrai
Reuniclus Reuniclus
Remoraid Remoraid
Magmar Magmar
Rufflet Rufflet
Reshiram Reshiram
Crabominable Crabominable
Machamp Machamp
Electrode Electrode
Serperior Serperior
Golbat Golbat
Trumbeak Trumbeak
Flygon Flygon
Bronzor Bronzor
Bergmite Bergmite
Torkoal Torkoal
Goomy Goomy
Corphish Corphish
Probopass Probopass
Lapras Lapras
Carbink Carbink
Exeggcute Exeggcute
Magmortar Magmortar
Electrike Electrike
Lileep Lileep
Ninjask Ninjask
PorygonZ PorygonZ
Feraligatr Feraligatr
Glalie Glalie
Deoxys Deoxys
Chespin Chespin
Luvdisc Luvdisc
Blissey Blissey
Vivillon Vivillon
Chatot Chatot
Nuzleaf Nuzleaf
Typhlosion Typhlosion
Skitty Skitty
