node0 node59 node83 node88 node0 node57 node69 node6 node0 node84 node1 node71 node3 node54 node3 node62 node99 node58 node63 node13 node98 node1 node5 node67 node66 node87 node81 node73 node77 node68 node85 node3 node80 node89 node7 node94 node52 node50 node86 node72 node51 node78 node53 node60 node96 node14 node0 node61 node75 node2 node70 node79 node6 node0 node0 node4 node74 node1 node2 node1 node4 node90 node4 node0
44
node0 node93 node76 node64 node56 node55
node5 node65
node2 node97 node95
node4 node82 node92
node1 node91
node50 node50
node51 node51
node52 node52
node53 node53
node54 node54
node57 node57
node58 node58
node59 node59
node60 node60
node61 node61
node62 node62
node63 node63
node66 node66
node67 node67
node68 node68
node69 node69
node70 node70
node71 node71
node72 node72
node73 node73
node74 node74
node75 node75
node77 node77
node78 node78
node79 node79
node80 node80
node81 node81
node83 node83
node84 node84
node85 node85
node86 node86
node87 node87
node88 node88
node89 node89
node90 node90
node94 node94
node96 node96
node98 node98
node99 node99
