L44 L1 L0 L2 L34 L43 L46 L2 L2 L70 L98 L3 L3 L3 L8 L12 L0 L0 L20 L22 L0 L0 L0 L69 L71 L0 L0 L77 L0 L82 L0 L88 L0 L0 L97 L99 L45 L48 L6 L15 L1 L33 L40 L41 L51 L62 L68 L1 L1 L1 L86 L44
32
L2 L17 L55 L58
L3 L30 L52 L87
L0 L14 L19 L26 L47 L57 L72 L73 L79 L83 L95 L96
L6 L10
L1 L31 L75 L78 L84 L1
L71 L71
L97 L97
L34 L34
L8 L8
L77 L77
L12 L12
L15 L15
L62 L62
L40 L40
L41 L41
L82 L82
L20 L20
L43 L43
L22 L22
L86 L86
L45 L45
L46 L46
L44 L44
L48 L48
L51 L51
L88 L88
L99 L99
L68 L68
L69 L69
L33 L33
L98 L98
L70 L70
