TA0 TA0 TA10 TA54 TA5 TA6 TA7 TA8 TA9 TA35 TA77 TA78 TA88 TA89 TA90 TA18 TA7 TA73 TA62 TA63 TA64 TA63 TA62 TA9 TA8 TA8 TA7 TA18 TA7 TA73 TA72 TA53 TA54 TA10 TA11 TA12 TA13 TA71 TA22 TA21 TA20 TA19 TA20 TA21 TA22 TA23 TA24 TA23 TA30 TA31 TA32 TA58 TA32 TA61 TA32 TA31 TA42 TA31 TA30 TA23 TA22 TA21 TA26 TA27 TA28 TA27 TA56 TA27 TA79 TA80 TA81 TA82 TA44 TA45 TA46 TA20 TA21 TA26 TA25 TA16 TA37 TA39 TA38 TA12 TA33 TA12 TA38 TA47 TA48 TA84 TA48 TA93 TA94 TA93 TA48 TA47 TA50 TA86 TA85 TA11 TA11 TA10 TA10 TA0 TA99 TA0
44
TA8 TA49 TA92 TA8
TA7 TA90 TA7
TA12 TA40 TA76 TA12
TA11 TA85
TA10 TA59 TA10
TA0 TA36
TA9 TA9
TA38 TA38
TA19 TA19
TA27 TA27
TA58 TA58
TA28 TA28
TA39 TA39
TA80 TA80
TA84 TA84
TA42 TA42
TA47 TA47
TA86 TA86
TA48 TA48
TA25 TA25
TA56 TA56
TA94 TA94
TA32 TA32
TA18 TA18
TA26 TA26
TA50 TA50
TA46 TA46
TA33 TA33
TA54 TA54
TA89 TA89
TA64 TA64
TA21 TA21
TA62 TA62
TA71 TA71
TA23 TA23
TA81 TA81
TA24 TA24
TA63 TA63
TA1 TA1
TA6 TA6
TA35 TA35
TA73 TA73
TA99 TA99
TA61 TA61
