Soda Pitzer CaliforniaHall Boalt Hesse Kleeberger Minor Soda1 MLK1 EastGate CalvinLaboratory LowerSproul Bechtel1 Cheit Bechtel Bowles EdwardsStadium McCone NorthGate Simon Bechtel Tan BarrowsHall FoxCottage Haviland HeatingPlant Bechtel IshiCourt Kroeber Lewis MemorialGlade Pimentel Bechtel WestGate Cheit1 Giannini1 Bechtel Bechtel ClarkKerr Soda Soda HaasPavilion HearstFieldAnnex Hertz Insectary Koshland LeConte MemorialStadium Morgan Wellman Wurster Eshleman Evans Birge Blum Soda Soda Soda Greenhouse Chou Soda Campanile Soda Cleary Soda BancroftLibrary Durant Soda McEnerney Moffitt Soda Mulford OBrien Soda Sproul Soda Stephens SutardjaDai TangCenter Warren Soda Zellerbach Boalt1 CalvinLaboratory1 Cory1 Dwinelle1 Etcheverry1 GreekTheatre1 Haste1 HearstMiningCircle1 LifeSciences1 McLaughlin1 KrutchTheater1 Soda Soda Observatory1 Stephens1 Soda TangCenter1 Warren1 WooHonFai1 Zellerbach1 Soda
80
Boalt Hargrove
Bechtel Stanley Hilgard SatherGate Jacobs1 WestGate1 Bechtel
Soda Foothill Gilman BotanicalGarden Giauque GoldmanPlaza Chvez HearstGymnasium Davis Latimer Morrison Sibley StadiumRim WooHonFai Hildebrand1 Moses1 SutardjaDai1
Bowles Bowles
ClarkKerr ClarkKerr
DoeLibrary DoeLibrary
EdwardsStadium EdwardsStadium
HaasPavilion HaasPavilion
HearstFieldAnnex HearstFieldAnnex
Hertz Hertz
Insectary Insectary
Koshland Koshland
LeConte LeConte
McCone McCone
MemorialStadium MemorialStadium
Morgan Morgan
NorthGate NorthGate
Pitzer Pitzer
Simon Simon
Tan Tan
Wellman Wellman
Wurster Wurster
Eshleman Eshleman
BarrowsHall BarrowsHall
Evans Evans
Birge Birge
FoxCottage FoxCottage
Blum Blum
CaliforniaHall CaliforniaHall
Greenhouse Greenhouse
Chou Chou
Campanile Campanile
Haviland Haviland
Cleary Cleary
HeatingPlant HeatingPlant
BancroftLibrary BancroftLibrary
Hesse Hesse
Durant Durant
EastGate EastGate
IshiCourt IshiCourt
Kleeberger Kleeberger
Kroeber Kroeber
Lewis Lewis
LowerSproul LowerSproul
McEnerney McEnerney
MemorialGlade MemorialGlade
Minor Minor
Moffitt Moffitt
Mulford Mulford
OBrien OBrien
Pimentel Pimentel
Sproul Sproul
Stephens Stephens
SutardjaDai SutardjaDai
TangCenter TangCenter
Warren Warren
WestGate WestGate
Zellerbach Zellerbach
Soda1 Soda1
Bechtel1 Bechtel1
Boalt1 Boalt1
CalvinLaboratory1 CalvinLaboratory1
Cheit1 Cheit1
Cory1 Cory1
Dwinelle1 Dwinelle1
Etcheverry1 Etcheverry1
Giannini1 Giannini1
GreekTheatre1 GreekTheatre1
Haste1 Haste1
HearstMiningCircle1 HearstMiningCircle1
LifeSciences1 LifeSciences1
McLaughlin1 McLaughlin1
KrutchTheater1 KrutchTheater1
MLK1 MLK1
Observatory1 Observatory1
Stephens1 Stephens1
TangCenter1 TangCenter1
Warren1 Warren1
WooHonFai1 WooHonFai1
Zellerbach1 Zellerbach1
