node0 node183 node187 node183 node188 node183 node182 node175 node176 node178 node176 node180 node176 node181 node176 node175 node168 node169 node171 node169 node173 node169 node174 node169 node168 node161 node162 node164 node162 node166 node162 node167 node162 node161 node154 node155 node157 node155 node159 node155 node160 node155 node154 node147 node148 node150 node148 node152 node148 node153 node148 node147 node140 node141 node143 node141 node145 node141 node140 node133 node134 node136 node134 node138 node134 node133 node126 node127 node129 node127 node131 node127 node126 node119 node120 node122 node120 node124 node120 node119 node112 node113 node115 node113 node117 node113 node112 node105 node106 node108 node106 node110 node106 node105 node98 node99 node101 node99 node103 node99 node98 node91 node92 node94 node92 node96 node92 node91 node84 node85 node87 node85 node89 node85 node84 node77 node78 node80 node78 node82 node78 node77 node70 node71 node73 node71 node75 node71 node70 node63 node64 node66 node64 node68 node64 node63 node56 node57 node59 node57 node61 node57 node56 node49 node50 node52 node50 node54 node50 node49 node42 node43 node45 node43 node47 node43 node42 node35 node36 node38 node36 node40 node36 node35 node28 node29 node31 node29 node33 node29 node28 node21 node22 node24 node22 node26 node22 node21 node14 node15 node17 node15 node19 node15 node14 node7 node8 node10 node8 node12 node8 node7 node0 node189 node190 node192 node190 node194 node190 node189 node0 node1 node3 node1 node5 node1 node6 node1 node0
83
node133 node146 node139
node126 node132
node119 node125
node112 node118
node105 node111
node98 node104
node91 node97
node84 node90
node77 node83
node70 node76
node63 node69
node56 node62
node49 node55
node42 node48
node35 node41
node28 node34
node21 node27
node14 node20
node7 node13
node0 node195
node3 node3
node5 node5
node6 node6
node10 node10
node12 node12
node17 node17
node19 node19
node24 node24
node26 node26
node31 node31
node33 node33
node38 node38
node40 node40
node45 node45
node47 node47
node52 node52
node54 node54
node59 node59
node61 node61
node66 node66
node68 node68
node73 node73
node75 node75
node80 node80
node82 node82
node87 node87
node89 node89
node94 node94
node96 node96
node101 node101
node103 node103
node108 node108
node110 node110
node115 node115
node117 node117
node122 node122
node124 node124
node129 node129
node131 node131
node136 node136
node138 node138
node143 node143
node145 node145
node150 node150
node152 node152
node153 node153
node157 node157
node159 node159
node160 node160
node164 node164
node166 node166
node167 node167
node171 node171
node173 node173
node174 node174
node178 node178
node180 node180
node181 node181
node185 node185
node187 node187
node188 node188
node192 node192
node194 node194
