Whitgrove Ribberrenston Nortwell Staplow Nortwell Bromstanham Sodberling Ellerbridge Falderseythorne Wycastle Bootwick Todhampton Worbrook Rothingenbage Sundendford Chedworth Sundendford Botbeck Hamscombe Staplow Ketchester Watchlake Faldenhall Rothingcombe Milthorne Horsnell Ketnell Toddenmoor Endingrensby Sodberling Prestwick Wychchester Durbrook Falderseythorne Worford Rotherlow Skellenshot Falworth Tippendham Pemton Shaftborough Hannersmith Worhall Alddleringworth Leatherport Falworth Skellenshot Cihead Staplow Endleberey Reddendeney Alddleringworth Southmere Ribberrenston Farnditch Abglewold Wetsmith Worbrook Bastlebury Emmerley Bastlebury Rothendcombe Dartden Endingnell Toddenmerbrough Casbrook Blansbrook Eley Reddingtree Stapbrough Reddingtree Ciborough Hamwold Bromrenslake Sodport Bothenhall Waltham Egsted Waltham Wendleringdown Stainbrough Hamscombe Alfmere Bursmith Hampingworth Botenbrook Tipstoke Pemton Endleberey Dribberham Bothenhall Sodport Skelberden Skellingover Candleswick Egton Melwood Rothendcombe Dartden Watchlake Hampingcastle Rockbage Sundcompney Horsmere Suddenmoor Egmerhampton Aldtree Leatherport Worrenberwang Wetwick Stapbrook Staincombe Suddenmoor Tippenbrook Marlbeck Enderbeck Sifield Abcester Shaftwick Faldenhall Wethampton Egton Stapby Waltbeck Cannerthorne Elside Wetsmith Redwich Marlbrook Shafthead Candleswick Horsnell Siavon Abgleham Sundlethorne Maidendlegrove Eley Braddlesnell Horstleover Hornsmercombe Ciringnell Penby Melwood Maidendstoke Hampingcastle Pemnell Rothingcombe Sirenshall Hampingbascombe Hamsborough Southbury Bassinghead Nortwell Penddenchester Chelmdenmoor Redcombe Siey Redcombe Bothenton Skelberden Watchlake Dartden Endleshall Falderbrough Rockbage Ellerbridge Chedworth Wendleringdown Bromstanham Clereennell Alfmere Bursmith Dribblecombe Botbeck Horsmere
89
Staplow Whitringlake Cihead Staplow
Sodberling Wychcompwold Sodberling
Hamscombe Skelberden
Watchlake Wolley Tippingbage Watchlake
Sundcompney Dartden
Leatherport Falworth Leatherport
Eley Blansbrook Eley
Maidendstoke Boothingmanstree
Rothingcombe Basditch Rothingcombe
Chelmdenmoor Marlcester
Endleshall Farndlesover
Ellerbridge Suddingover Ellerbridge
Wendleringdown Worrenberwang Wendleringdown
Alfmere Clereennell Alfmere
Sifield Sifield
Melwood Melwood
Wethampton Wethampton
Tipstoke Tipstoke
Cannerthorne Cannerthorne
Reddendeney Reddendeney
Ketchester Ketchester
Enderbeck Enderbeck
Abglewold Abglewold
Bastlebury Bastlebury
Ketnell Ketnell
Bothenton Bothenton
Faldenhall Faldenhall
Siavon Siavon
Todhampton Todhampton
Hampingcastle Hampingcastle
Casbrook Casbrook
Shaftborough Shaftborough
Redcombe Redcombe
Southbury Southbury
Farnditch Farnditch
Dribblecombe Dribblecombe
Egmerhampton Egmerhampton
Penby Penby
Staincombe Staincombe
Horsnell Horsnell
Wetsmith Wetsmith
Stapbrough Stapbrough
Nortwell Nortwell
Ribberrenston Ribberrenston
Rotherlow Rotherlow
Prestwick Prestwick
Wycastle Wycastle
Milthorne Milthorne
Hamwold Hamwold
Elside Elside
Endingnell Endingnell
Worford Worford
Bootwick Bootwick
Waltbeck Waltbeck
Suddenmoor Suddenmoor
Southmere Southmere
Skellenshot Skellenshot
Bromstanham Bromstanham
Worhall Worhall
Chedworth Chedworth
Hampingworth Hampingworth
Sirenshall Sirenshall
Wetwick Wetwick
Bothenhall Bothenhall
Candleswick Candleswick
Siey Siey
Rothendcombe Rothendcombe
Botbeck Botbeck
Tippenbrook Tippenbrook
Toddenmoor Toddenmoor
Dribberham Dribberham
Emmerley Emmerley
Skellingover Skellingover
Wychchester Wychchester
Sodport Sodport
Tippendham Tippendham
Whitgrove Whitgrove
Horstleover Horstleover
Durbrook Durbrook
Abcester Abcester
Sundlethorne Sundlethorne
Marlbrook Marlbrook
Bursmith Bursmith
Abgleham Abgleham
Sundendford Sundendford
Falderseythorne Falderseythorne
Hampingbascombe Hampingbascombe
Egsted Egsted
Endleberey Endleberey
