Waco MorenoValley OverlandPark KansasCity Omaha KansasCity Lincoln Newark Lincoln Detroit SaltLakeCity AnnArbor SaltLakeCity Rochester Oski Irving SantaClara ChulaVista Lincoln SterlingHeights OWO AthensClarkeCounty Palmdale WestValleyCity Denton SanBernardino Stamford Cary Stamford Clarksville Palmdale StPaul Victorville FortCollins Palmdale FortWayne Palmdale AthensClarkeCounty SanFrancisco Richmond Aurora LexingtonFa Aurora KansasCity
24
Lincoln ChulaVista Lincoln
Aurora Richmond
Rochester Rochester
Palmdale Palmdale
Clarksville Clarksville
OWO OWO
Cary Cary
SanAntonio SanAntonio
StPaul StPaul
SanFrancisco SanFrancisco
LexingtonFa LexingtonFa
MorenoValley MorenoValley
AnnArbor AnnArbor
SterlingHeights SterlingHeights
Stamford Stamford
Detroit Detroit
FortWayne FortWayne
Omaha Omaha
FortCollins FortCollins
SaltLakeCity SaltLakeCity
SanBernardino SanBernardino
AthensClarkeCounty AthensClarkeCounty
Irving Irving
Newark Newark
