Qatar Armenia Mongolia Tanzania Mongolia GuineaBissau Serbia Estonia Serbia Peru UnitedKingdom Qatar Qatar Danzig Liberia Uruguay Uruguay Mongolia Australia VaticanCity CzechRepublic MarshallIslands Morocco Kyrgyzstan Mali Albania Qatar Tuvalu Guyana Gabon Serbia CostaRica Tunisia Tajikistan Qatar Senegal Qatar Georgia Qatar Qatar Qatar Belgium SaintLucia Qatar Albania France Andorra Uruguay Serbia America Netherlands SierraLeone Haiti Egypt DemofChina Qatar
38
Mongolia UAE Sweden Mongolia
Qatar Kosovo Mozambique Angola Burundi Montenegro Belarus SanMarino Macedonia Singapore
Uruguay Uzbekistan Malta
MarshallIslands RussianFederation
Serbia Lebanon Nicaragua
Peru Peru
Gabon Gabon
Haiti Haiti
Tajikistan Tajikistan
Danzig Danzig
Morocco Morocco
Liberia Liberia
Armenia Armenia
Australia Australia
Estonia Estonia
Egypt Egypt
France France
CostaRica CostaRica
Senegal Senegal
SierraLeone SierraLeone
DemofChina DemofChina
Netherlands Netherlands
UnitedKingdom UnitedKingdom
Belgium Belgium
Guyana Guyana
Tanzania Tanzania
Mali Mali
GuineaBissau GuineaBissau
Tunisia Tunisia
VaticanCity VaticanCity
Tuvalu Tuvalu
Albania Albania
Kyrgyzstan Kyrgyzstan
America America
Andorra Andorra
SaintLucia SaintLucia
Georgia Georgia
CzechRepublic CzechRepublic
