point0 point25 point21 point3 point16 point3 point19 point34 point7 point1 point12 point25 point2 point30 point0 point16 point41 point37 point1 point7 point46 point9 point42 point47 point42 point26 point3 point33 point3 point5 point3 point18 point4 point6 point8 point24 point1 point0
20
point16 point35 point16
point7 point43 point7
point18 point3
point1 point1
point4 point4
point5 point5
point6 point6
point19 point19
point21 point21
point23 point23
point24 point24
point25 point25
point26 point26
point30 point30
point33 point33
point37 point37
point41 point41
point42 point42
point46 point46
point47 point47
